cliente_id,nombre,email,ciudad,pais,fecha_registro
C113,Heriberto Ramis Yuste,heriberto.ramis.yuste@email.com,Rosario,Argentina,2024-01-11
C114,Isidoro Juan Pablo Córdoba Cáceres,isidoro.juan.pablo.cordoba.caceres@email.com,Rosario,Argentina,2025-01-23
C115,Marco Nacho Tenorio Maldonado,marco.nacho.tenorio.maldonado@email.com,Cochabamba,Bolivia,2025-09-10
C116,Abril Olivé Valbuena,abril.olive.valbuena@email.com,La Paz,Bolivia,2023-08-08
C117,Trini del Andreu,trini.del.andreu@email.com,Cusco,Perú,2023-12-05
C118,Esteban de Pardo,esteban.de.pardo@email.com,Guadalajara,México,2023-10-06
C119,Bibiana Blanes,bibiana.blanes@email.com,Medellín,Colombia,2024-03-29
C120,Paulino Anguita Dueñas,paulino.anguita.dueñas@email.com,Cusco,Perú,2024-09-04
C121,Aurora del Rivera,aurora.del.rivera@email.com,La Paz,Bolivia,2026-01-07
C122,Concha Carpio Nevado,concha.carpio.nevado@email.com,Medellín,Colombia,2025-07-12
C123,Iker Serna Carmona,iker.serna.carmona@email.com,Cali,Colombia,2024-05-03
C124,Obdulia Zapata Estévez,obdulia.zapata.estevez@email.com,Medellín,Colombia,2025-08-19
C125,Bernardo Roselló Matas,bernardo.rosello.matas@email.com,Monterrey,México,2026-05-16
C126,Oriana Figueroa,oriana.figueroa@email.com,Lima,Perú,2024-01-17
C127,Marcio Simó Álvarez,marcio.simo.alvarez@email.com,Buenos Aires,Argentina,2024-11-20
C128,Balduino Escribano Almazán,balduino.escribano.almazan@email.com,Córdoba,Argentina,2024-03-04
C129,Saturnina de Puga,saturnina.de.puga@email.com,Rosario,Argentina,2024-07-16
C130,Bernardita Robles,bernardita.robles@email.com,Santa Cruz,Bolivia,2025-06-05
C131,Lisandro Urbano Madrigal Mas,lisandro.urbano.madrigal.mas@email.com,Monterrey,México,2023-07-13
C132,Javiera Valcárcel,javiera.valcarcel@email.com,Rosario,Argentina,2024-01-02
C133,Yago Casanovas Quintero,yago.casanovas.quintero@email.com,Concepción,Chile,2026-03-17
C134,Antonio Cabeza Guardiola,antonio.cabeza.guardiola@email.com,Cali,Colombia,2024-02-18
C135,Gertrudis Español Roldan,gertrudis.español.roldan@email.com,Córdoba,Argentina,2024-06-02
C136,Eliana Barranco Real,eliana.barranco.real@email.com,Cali,Colombia,2026-02-13
C137,Melisa Iñiguez,melisa.iñiguez@email.com,Arequipa,Perú,2023-09-12
C138,Ámbar Galiano Lasa,ambar.galiano.lasa@email.com,Córdoba,Argentina,2025-04-06
C139,Ema Lillo-Múñiz,ema.lillo-muñiz@email.com,Valparaíso,Chile,2024-01-30
C140,Jesusa Gárate Morata,jesusa.garate.morata@email.com,Bogotá,Colombia,2025-07-13
C141,Paulina de Nuñez,paulina.de.nuñez@email.com,Concepción,Chile,2024-02-05
C142,Cristóbal del Jerez,cristobal.del.jerez@email.com,Ciudad de México,México,2025-02-09
C143,Ani Peinado-Zurita,ani.peinado-zurita@email.com,Santa Cruz,Bolivia,2024-12-17
C144,Calixto Esparza Cortes,calixto.esparza.cortes@email.com,Ciudad de México,México,2025-04-19
C145,Dorotea Echeverría Solé,dorotea.echeverria.sole@email.com,Cali,Colombia,2025-02-18
C146,Salvador Cáceres Corominas,salvador.caceres.corominas@email.com,Bogotá,Colombia,2024-03-25
C147,Eligia Palacio Alfaro,eligia.palacio.alfaro@email.com,Cali,Colombia,2025-07-20
C148,Wálter Guitart Quesada,walter.guitart.quesada@email.com,Guadalajara,México,2024-02-18
C149,Edmundo Álvarez,edmundo.alvarez@email.com,Concepción,Chile,2023-08-12
C150,Bienvenida Bermúdez Cuenca,bienvenida.bermudez.cuenca@email.com,Concepción,Chile,2024-05-16
C151,Ángeles Lupe Arévalo Jimenez,angeles.lupe.arevalo.jimenez@email.com,Cochabamba,Bolivia,2026-03-12
C152,Elisabet Royo-Cánovas,elisabet.royo-canovas@email.com,Rosario,Argentina,2026-02-16
C153,Calixta Gras Rosselló,calixta.gras.rossello@email.com,Cochabamba,Bolivia,2025-12-26
C154,Cloe Tirado Rosselló,cloe.tirado.rossello@email.com,Bogotá,Colombia,2023-09-25
C155,Gregorio Jacinto Serrano Moles,gregorio.jacinto.serrano.moles@email.com,Guadalajara,México,2024-04-10
C156,Cecilia Gutierrez-Puig,cecilia.gutierrez-puig@email.com,Santa Cruz,Bolivia,2024-06-02
C157,Curro Pallarès Perales,curro.pallarès.perales@email.com,Medellín,Colombia,2024-09-17
C158,Ovidio Madrid Rios,ovidio.madrid.rios@email.com,Buenos Aires,Argentina,2023-06-03
C159,Adalberto Tudela,adalberto.tudela@email.com,Monterrey,México,2023-06-10
C160,Silvia Aramburu Barco,silvia.aramburu.barco@email.com,Santa Cruz,Bolivia,2023-06-29
C161,Amado Ruy Suarez Perez,amado.ruy.suarez.perez@email.com,Buenos Aires,Argentina,2026-02-24
C162,Diego Sobrino-Soriano,diego.sobrino-soriano@email.com,Cochabamba,Bolivia,2023-07-10
C163,Gracia Ramirez Jurado,gracia.ramirez.jurado@email.com,Buenos Aires,Argentina,2024-04-17
C164,Che Naranjo,che.naranjo@email.com,Cochabamba,Bolivia,2025-02-08
C165,Francisco Jose Isidro Ángel Pinedo,francisco.jose.isidro.angel.pinedo@email.com,Guadalajara,México,2024-12-15
C166,Bautista Matías Seco Acevedo,bautista.matias.seco.acevedo@email.com,Cusco,Perú,2025-07-29
C167,Fausto Solana-Portillo,fausto.solana-portillo@email.com,Bogotá,Colombia,2026-01-24
C168,Eligio Córdoba Cámara,eligio.cordoba.camara@email.com,Medellín,Colombia,2025-10-27
C169,Pancho Alberto Infante Jordá,pancho.alberto.infante.jorda@email.com,Santa Cruz,Bolivia,2024-03-27
C170,Seve Barón-Pinilla,seve.baron-pinilla@email.com,Concepción,Chile,2024-02-01
C171,Nicolás Barrio,nicolas.barrio@email.com,Buenos Aires,Argentina,2026-03-26
C172,Verónica Vilanova,veronica.vilanova@email.com,Ciudad de México,México,2025-10-31
C173,Bárbara Dominguez Flores,barbara.dominguez.flores@email.com,Santiago,Chile,2026-05-24
C174,Isaías del Benítez,isaias.del.benitez@email.com,La Paz,Bolivia,2023-09-10
C175,Diana Atienza Garay,diana.atienza.garay@email.com,Medellín,Colombia,2025-08-27
C176,Sigfrido Collado Martorell,sigfrido.collado.martorell@email.com,Santa Cruz,Bolivia,2025-11-03
C177,Celso del Trillo,celso.del.trillo@email.com,Arequipa,Perú,2025-01-24
C178,Lupe Abellán Galán,lupe.abellan.galan@email.com,Cusco,Perú,2026-05-26
C179,Bienvenida Arteaga Toledo,bienvenida.arteaga.toledo@email.com,Bogotá,Colombia,2025-07-15
C180,Matilde Exposito Saldaña,matilde.exposito.saldaña@email.com,Santiago,Chile,2025-12-06
C181,Dolores Zabaleta Castellanos,dolores.zabaleta.castellanos@email.com,Medellín,Colombia,2025-07-31
C182,Susanita Garriga Mancebo,susanita.garriga.mancebo@email.com,Córdoba,Argentina,2025-01-20
C183,Nayara Nieto Céspedes,nayara.nieto.cespedes@email.com,Cochabamba,Bolivia,2025-05-29
C184,Luisina Baeza Sureda,luisina.baeza.sureda@email.com,Valparaíso,Chile,2026-03-07
C185,Eusebia Calvet-Casado,eusebia.calvet-casado@email.com,Concepción,Chile,2024-11-06
C186,Almudena Cornejo Montserrat,almudena.cornejo.montserrat@email.com,Bogotá,Colombia,2025-05-12
C187,Fabián Villalba Ramón,fabian.villalba.ramon@email.com,Guadalajara,México,2024-10-06
C188,Ruy León Cámara,ruy.leon.camara@email.com,Santiago,Chile,2026-02-19
C189,Priscila Garriga Barceló,priscila.garriga.barcelo@email.com,Buenos Aires,Argentina,2026-02-24
C190,Adalberto Chacón Palomares,adalberto.chacon.palomares@email.com,Bogotá,Colombia,2025-10-04
C191,África Edelmira Izaguirre Malo,africa.edelmira.izaguirre.malo@email.com,Guadalajara,México,2026-05-04
C192,Fabiana Ferrer-Cózar,fabiana.ferrer-cozar@email.com,Medellín,Colombia,2025-08-14
C193,Azahar Menendez Bertrán,azahar.menendez.bertran@email.com,Buenos Aires,Argentina,2025-02-04
C194,Ildefonso Hernández-Sainz,ildefonso.hernandez-sainz@email.com,Arequipa,Perú,2026-05-23
C195,Xavier Moreno Barón Hervia,xavier.moreno.baron.hervia@email.com,Lima,Perú,2025-10-18
C196,Jonatan Mendez Flores,jonatan.mendez.flores@email.com,Guadalajara,México,2024-03-05
C197,Teo Santos Tamayo,teo.santos.tamayo@email.com,Concepción,Chile,2025-09-04
C198,Custodia Manuelita Gomis Abella,custodia.manuelita.gomis.abella@email.com,Monterrey,México,2024-02-15
C199,Demetrio del Jódar,demetrio.del.jodar@email.com,Concepción,Chile,2025-12-17
C200,María Manuela Carrera Barriga,maria.manuela.carrera.barriga@email.com,Bogotá,Colombia,2025-04-10
